id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,status,decade,latitude,longitude,oc_confidence,oc_formatted,oc_category,oc_type
F5540BD3-E3D4-4F2F-AD28-A36EC04BC15E,1965,70,6,1960s,56.10907989815654,10.154708366902378,9,"PHFood, Søren Nymarks Vej, 8260 Viby, Denmark",commerce,shop
019711A7-0BA3-4E35-9788-FFB7AB150971,1988,236,6,1980s,56.16445139258067,10.126803788371939,9,"Edwin Rahrs Vej, 8220 Brabrand, Denmark",road,road
865D0E45-29B6-4177-9E05-B1B59230C368,1969,210,6,1960s,56.18234630871671,10.193455913941346,10,"Gøteborg Alle 5B, 8200 Aarhus N, Denmark",building,building
ED522472-BBDB-4863-831E-51DE558093E1,1988,146,6,1980s,56.191163986617916,10.111167983973168,9,"Lokalcenter Havkær - Køkken, Havkærvej, 8381 Tilst, Denmark",social,community_centre
0C0A2836-ECDB-4C94-A19C-39A3EEEB77EB,1978,25,6,1970s,56.20430018021524,10.186834053282267,10,"Johann Gutenbergs Vej 10, 8200 Aarhus N, Denmark",building,building
4ADEE049-64AC-4DBB-8044-D0E207AA0EC3,1956,347,6,1950s,56.18484679001332,10.2008963256978,10,"Skrydstrupvej 3, 8200 Aarhus N, Denmark",building,building
62449C0B-1CF5-49E2-9DE0-ADD464BED8BE,1990,15,6,1990s,56.155266082958654,10.20842708997553,10,"Fiskergade 42, 8000 Aarhus C, Denmark",building,building
59EDDBCC-23B0-44AA-A477-44B4AD0A4A60,1941,998,6,1940s,56.14409929203163,10.199638127335268,9,"Aarhus HF & VUC, Dalgas Avenue, 8000 Aarhus C, Denmark",education,school
341FDE06-9BC9-43E8-9470-991376613849,1968,187,6,1960s,56.15088920944475,10.091230850563743,10,"Hougårdsvej 58, 8220 Brabrand, Denmark",building,building
ADBE95BD-2F70-4D62-A87F-282B7AB8B9E9,1969,187,6,1960s,56.151306708786834,10.093158019162878,10,"Hougårdsvej 32, 8220 Brabrand, Denmark",building,building
A46D02F7-74BD-46F3-82D7-A43A48E6DA51,1960,122,6,1960s,56.155920394340534,10.179210311691246,10,"Silkeborgvej 47, 8000 Aarhus C, Denmark",building,building
48ABEB5F-FA27-4355-89EE-449751B632EA,1912,92,6,1930s,56.14631808848472,10.191566483933007,10,"Hedemannsgade 1B, 8000 Aarhus C, Denmark",building,building
5771C279-03BD-44A0-B3E0-64565A89E9FC,1968,68,6,1960s,56.16485777853162,10.150131956659912,10,"Ryhavevej 50B, 8210 Aarhus V, Denmark",building,building
74CFC397-9E5A-4592-A5B5-6356D115527F,1970,250,6,1970s,56.11228204509374,10.134022905951223,10,"Gunnar Clausens Vej 13Z, 8260 Viby, Denmark",building,building
84785832-9EFF-49A8-B820-A50A47F865A3,1960,90,6,1960s,56.14309743814563,10.186691368571136,9,"MENY Delikatesse, Skanderborgvej, 8000 Aarhus C, Denmark",commerce,shop
96D4733A-E921-48CB-9CC8-8D2C792BBF99,1960,61,6,1960s,56.14705607585139,10.194627193828108,10,"Frederiks Allé 140, 8000 Aarhus C, Denmark",building,building
E986CCF7-6765-4A79-AFA1-C8B65E8AFAD4,1956,75,6,1950s,56.17100149588251,10.184318079573124,10,"Møllevangs Allé 151B, 8210 Aarhus V, Denmark",building,building
3C9C46E8-4082-4BA4-8AAE-D17987255B16,1951,100,6,1950s,56.17334871869448,10.189217241357701,10,"Åbogade 40B, 8200 Aarhus N, Denmark",building,building
53AB9A73-00ED-4329-8E00-07F2387FB118,1974,206,6,1970s,56.18797821615768,10.104773660467156,10,"Langkærvej 2F, 8381 Tilst, Denmark",building,building
A51D3B66-E473-45AD-A98D-CAFC6F223DC7,1972,90,10,1970s,56.20396469263763,10.228469762416623,10,"Tove Ditlevsens Gade 65, 8240 Risskov, Denmark",building,building
20E815F3-0EA7-482E-9B32-DFA8AE1F9AE4,1988,394,6,1980s,56.19018956695889,10.172220127803579,8,"Aarhus University Hospital, Carl Krebs' Vej, 8210 Aarhus V, Denmark",health,hospital
15ACC384-EC9E-4313-BC9A-A75023A6097B,1996,304,6,1990s,56.19284845127198,10.172075749879603,9,"Intensiv, Børne indgang 2, 1. sal, Indgang G, 8200 Aarhus N, Denmark",health,clinic
5101715D-AE13-48A1-A066-7827651485D9,1996,674,6,1990s,56.19201286883374,10.171301562479002,8,"Aarhus University Hospital, Carl Krebs' Vej, 8210 Aarhus V, Denmark",health,hospital
E3153650-F9D6-45F6-9802-6CCCCE725B3B,1962,50,10,1960s,56.162759815222124,10.211929684864442,9,"Knudrisgade, 8000 Aarhus C, Denmark",road,road
F73E9881-C100-4553-A403-93B13EB2A222,2001,126,6,2000s,56.10334112222167,10.14968323725247,10,"Slet Møllevej 7, 8310 Tranbjerg, Denmark",building,building
8DB10029-D622-431C-B92E-CDF64412DB65,2001,129,6,2000s,56.102477416135315,10.148710356930765,10,"Slet Parkvej 7, 8310 Tranbjerg, Denmark",building,building
B30DA139-3354-472B-8960-1A795FDA4A32,2000,150,6,2000s,56.10228695274917,10.148697610795876,10,"Slet Parkvej 7, 8310 Tranbjerg, Denmark",building,building
FDB8FA1D-CFC1-448E-BAFA-9F14A09156CB,1992,170,6,1990s,56.19111148840561,10.187548290338814,10,"Brendstrupgårdsvej 7, 8200 Aarhus N, Denmark",building,building
9029885D-6398-4C37-8CCE-7381B3C064CE,1963,90,6,1960s,56.109137499122625,10.15665727796155,10,"Søren Nymarks Vej 7, 8270 Højbjerg, Denmark",building,building
603E55D7-A7FF-43CA-99C5-4E87A9A1C136,1989,30,6,1980s,56.14074339723711,10.222810555067978,10,"Tongavej 1, 8000 Aarhus C, Denmark",building,building
950219F9-4BE9-4D9F-8095-524067A02264,1960,28,6,1960s,56.14045871850719,10.152667555045513,10,"Klamsagervej 34, 8230 Åbyhøj, Denmark",building,building
C3F87751-2C0F-447E-88BC-2D5B13E21D24,1968,50,10,1960s,56.20430895719625,10.226429440623642,10,"Torsøvej 2D, 8240 Risskov, Denmark",building,building
5247E2F7-7414-4838-91ED-265DA19B25E7,1968,300,6,1960s,56.15266691745595,10.108500245074193,9,"Engdalskolen, Engdalsvej, 8220 Brabrand, Denmark",education,school
82AF992C-3C1C-493B-987B-35F152CC7E5C,1955,61,6,1950s,56.165981496732314,10.18524835851296,9,"Folkehuset Fuglebakken, Fuglebakkevej, 8000 Aarhus C, Denmark",social,community_centre
E1750928-9839-4D3F-8F5E-39D8E060A240,1969,72,6,1960s,56.14905690522033,10.162820501478173,9,"Åbyhøj Idrætsforening Cafeteria, O.I. Offersens Vej, 8230 Åbyhøj, Denmark",outdoors/recreation,sports_centre
86155922-CDD5-496B-B2F0-82E0825FAA37,1969,62,10,1960s,56.20014440898893,10.223488332098777,9,"Netto, Korshøjen, 8240 Risskov, Denmark",commerce,shop
49948C48-4C25-49D3-871B-8ED70C98B38D,1907,66,6,1930s,56.11953381839596,10.136947320948536,9,"Grøndalsvej, 8260 Viby, Denmark",road,road
7BC2B7AF-80E3-49EA-BE83-846E3A136CA3,1981,80,6,1980s,56.17266179208532,10.193095538338405,9,"Kompetencecenter Nord, Katrinebjergvej, 8200 Aarhus N, Denmark",social,social_facility
CF07A97B-A473-414D-9C39-DE7FF10B608E,1968,20,6,1960s,56.14300905146775,10.185002886858149,10,"Langenæs Allé 18, 8000 Aarhus C, Denmark",building,building
D62403AA-334B-4173-8695-8707AD35C3FB,1956,55,6,1950s,56.1392960194282,10.176820203760595,10,"Marselis Boulevard 179, 8000 Aarhus C, Denmark",building,building
B8EEDFBC-D74F-4F95-8CB0-37FA6B72F487,1968,231,6,1960s,56.106711272547955,10.147609434969143,9,"Gunnar Clausens Vej, 8260 Viby, Denmark",road,road
6E7D43A7-9860-478C-995A-3846B41CFF89,1949,65,6,1940s,56.11971994914197,10.182489839143924,10,"Rundhøj Allé 2B, 8270 Højbjerg, Denmark",building,building
