byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat
1949,106,751,POINT (575046.92 6225764.03)
1971,72,751,POINT (572997.44 6225165.63)
1991,171,751,POINT (568646.72 6223914.99)
1993,63,751,POINT (575245.67 6227756.54)
1954,350,751,POINT (574402.02 6227363.87)
1999,250,751,POINT (573760.37 6227685.2)
1955,106,751,POINT (574396.5 6226064)
1888,50,751,POINT (575104.48 6225101.34)
1983,100,751,POINT (566875.44 6218834.08)
1991,44,751,POINT (568387 6225248.29)
2000,315,751,POINT (571438.86 6218060.53)
2000,221,751,POINT (574731.16 6226046.96)
1968,17,751,POINT (569810.27 6224929.33)
1972,338,751,POINT (570702.75 6224327.25)
1981,100,751,POINT (572320.77 6226440.52)
1990,192,751,POINT (569314.06 6221376)
1958,300,751,POINT (571742.99 6224431.86)
1977,460,751,POINT (568993.77 6226047.03)
2000,161,751,POINT (574784.28 6225926.72)
1966,100,751,POINT (567973.96 6218252.66)
1988,16,751,POINT (572091.79 6221026.7)
1961,280,751,POINT (574971.17 6224381.51)
1988,54,751,POINT (569100.65 6226201.97)
1972,79,751,POINT (568263.19 6227778.5)
1969,81,751,POINT (571844.88 6219556.5)
1972,136,751,POINT (576402.65 6233537.46)
1971,201,751,POINT (570921 6220391)
1993,301,751,POINT (573176.17 6229487.34)
1972,69,751,POINT (569078 6225550.41)
1959,47,751,POINT (569084.8 6223762.67)
1975,111,751,POINT (572516.45 6226507.69)
1972,69,751,POINT (569068.68 6225592.75)
1968,30,751,POINT (572621.9 6223507.57)
1968,110,751,POINT (572945.7 6219799.56)
1995,35,751,POINT (575342.11 6223616.25)
1959,36,751,POINT (574089.48 6225775.04)
1875,67,751,POINT (575288.8 6224017.87)
1962,40,751,POINT (568581.05 6224860.81)
1959,81,751,POINT (570591.96 6217633.66)
1971,162,751,POINT (572099.82 6225200.17)
1968,844,751,POINT (571270.06 6219060.74)
1961,160,751,POINT (573204.69 6221115.28)
1954,41,751,POINT (573295.56 6226017.5)
1969,300,751,POINT (572158.96 6225466.13)
1963,68,751,POINT (572576.54 6220364.31)
1960,35,751,POINT (574631.41 6226333.23)
1999,68,751,POINT (574036.98 6223848.91)
