id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat,status
FDA7EC84-0FD1-4343-AEAC-76B91E73EFA9,1967,254,751,POINT (570093.45 6224055.28),6
FCEB12A7-84D8-40AE-9032-1EC8EC6E56DD,1968,95,751,POINT (571322.02 6223087.52),6
FCC67D8E-A1F5-4E56-9542-1CE4AFB0ABCC,1975,68,751,POINT (572501.54 6226434.54),6
FC07D609-350F-4C7C-BA7B-833A34243728,1980,73,751,POINT (574724.45 6228896.88),6
FBC448CD-F175-439B-8192-5C59296F2E59,1975,89,751,POINT (574565.83 6228235.92),6
FB8ACBE1-BAE0-47C7-9D2D-29E735041B15,1952,31,751,POINT (573632.97 6222312.36),6
F14CB71A-3AB2-419E-89F0-3A98B69644C3,1971,69,751,POINT (569440.1 6225466.32),6
F11B3B33-758F-4F90-8C3D-938F437D3683,1963,245,751,POINT (571256.97 6223882.68),6
F076CD2E-EBDD-4747-86A9-4C1AD7368463,1958,140,751,POINT (573382.68 6225771.4),6
EF8380ED-9C2B-41D6-BB3B-2A541FF25089,1953,112,751,POINT (570220.41 6223411.97),6
EEED541D-08FF-494C-9295-ECB318C29C5C,1958,196,751,POINT (573598.55 6222613.15),6
EE64278A-BB03-4C74-BDB8-C58427F2F5FC,1957,87,751,POINT (573634.69 6222851.16),6
ED2F4C38-0E34-4628-B4A2-C7874FE7CB16,1971,67,751,POINT (569459.1 6225467.57),6
ECB1DB90-2995-4B6D-A194-FD16FFEDAE03,1943,15,751,POINT (573539.95 6225217.97),6
EBB109A6-4C0B-4161-87BA-92355FD312D4,1994,57,751,POINT (574675.26 6224467.99),6
EB9AAB40-8DD0-428B-B0BB-03A8587507E0,1972,79,751,POINT (568358.76 6227736.56),6
EB752B15-6B4D-4E85-981A-2CC7381B0302,1952,31,751,POINT (573653.97 6222334.84),6
EA8E3D5D-A78B-45C5-A0D0-C70A186ADD20,1960,71,751,POINT (573518.56 6222948.2),6
E8E140DD-DA09-463E-A1F6-47B0DC1E83AB,1998,70,751,POINT (570489.13 6225659.83),6
E866B6F4-5ED3-454E-8DC6-4F5E0D4F0B36,1958,196,751,POINT (573532.24 6222565.89),6
E7F1F3A4-0470-406F-8750-1CFF68171F9A,1992,28,751,POINT (574536.32 6224345.92),6
E78D85E9-6815-4CCD-80AD-B94839726FDE,1971,90,751,POINT (572915.44 6225031.91),6
E6DF6F9C-AA4D-4D2F-8D21-DB2F4FE32403,1968,95,751,POINT (571210.2 6223310.43),6
E4D9EE34-1B50-4C16-BF7A-D9D128926F8C,1982,68,751,POINT (572605.03 6226771.96),6
E2F57B69-4932-48E0-8119-D86E3A202E8E,1966,60,751,POINT (576675.98 6228492.05),6
DBB6C883-A958-4A67-AEDF-95C38D06DD18,1979,60,751,POINT (571161.87 6223889.33),6
DBA5D484-E8BD-4647-BD8D-407C1F6265E5,1960,112,751,POINT (570039.15 6223846.15),6
DB8F0786-4C82-4E1F-95D1-EF82050C1AEF,1970,972,751,POINT (571187.59 6224378.21),6
DA3F0E03-EA69-4886-9065-D8A2985D77E4,1959,86,751,POINT (572603.66 6224911.09),6
D7ABC4CD-ADF0-4F17-ACE4-7ADA7164FF88,1971,72,751,POINT (572880.69 6225255.7),6
D75DE4FC-6883-4CAB-B70A-AB4F03EC896C,1952,31,751,POINT (573688.18 6222329.93),6
D542612C-2500-4638-B956-C44DC40C72A7,1960,112,751,POINT (569992.63 6223951.62),6
D3F51A5A-92C3-4745-8A15-F4E333BC3FC4,1975,112,751,POINT (574501.27 6228025.57),6
D2FAFC45-4245-4BF3-B1BA-0B54350B8F95,1969,300,751,POINT (572235.44 6225597.01),6
D26F974D-17E4-44E8-A958-A231E7E6804B,1969,240,751,POINT (576502.24 6228780.68),6
D11A4B66-2E0A-4917-BD3D-E38DF4D7510F,1972,79,751,POINT (568308.1 6227697.27),6
CFEFC703-C29F-44C8-9DC5-09FDBB2415E3,1954,41,751,POINT (573297.22 6226015.49),6
CFB3D9E1-2DE0-495C-A916-4A19C8288179,1962,127,751,POINT (573418.64 6225029.29),6
CF575208-A092-4DFC-8D69-6ACD4CAB4237,1972,301,751,POINT (571877.58 6225319.23),6
CB26CEF2-A84E-4629-BBE0-C4E3B3DCAA0E,1971,77,751,POINT (572917.45 6225354.89),6
C99777CE-04C9-4FCC-B351-80050B4256C8,1956,185,751,POINT (575551.83 6228286.74),6
C8EBB11A-F9BC-4CF2-A91F-E1BEC04801F7,1975,111,751,POINT (574547.97 6228123.79),6
C8AF4C57-8336-46D1-B546-5D7EEECD2BD2,1998,70,751,POINT (570548.04 6225637.1),6
C6644975-F51C-4C9F-8641-8442879AA055,1990,27,751,POINT (574826.96 6224625.99),6
C5D1ED77-686B-4033-BD7A-DC38C82A8552,1954,136,751,POINT (572086.27 6223078.87),6
C5B90049-7CA5-41B8-85FE-3F0A18C7FAAA,1969,320,751,POINT (572950.12 6225601.78),6
C5A9E5BF-85DF-4C92-B2FA-1A4951BA7535,1972,69,751,POINT (569068.68 6225592.75),6
C5A71524-22CC-4EE5-8E12-7341C359886B,1950,42,751,POINT (573659.54 6222914.33),6
C598D907-0AD7-441D-85CE-E34031512136,1963,24,751,POINT (570316.42 6226486.09),6
C4FFC8F0-1491-46FC-8183-E1756B2F505A,1976,171,751,POINT (575286.94 6227888.93),6
C4F345D5-4108-47B8-BC85-09B6298D0908,1975,111,751,POINT (572516.45 6226507.69),6
C3FA2ECD-E89F-47D5-97C1-15431FD5904D,1972,69,751,POINT (569078 6225550.41),6
C2D8E010-0C98-45C2-A8AF-C0B42195AE48,1971,72,751,POINT (572867.92 6225384.16),6
C07B1B92-17CF-44F0-AE5A-526881F51B5C,1971,94,751,POINT (572922.72 6225207.71),6
C002CD9E-0044-4F19-ABD8-3C49C7DC3F84,1960,83,751,POINT (570183.3 6223921.26),6
C001BE65-BB7B-4B70-BD48-BAD69CF63763,1969,120,751,POINT (570124.57 6224374.68),6
BC453A51-6CCB-46B7-811E-DC7250035FE5,1969,72,751,POINT (572834.97 6225562.5),6
BC3980AB-C5A4-40CE-BE3E-9CA2ADBC4CD2,1958,71,751,POINT (572634.14 6224993.31),6
BB9799B3-0444-49BE-8797-2032236B2324,1972,79,751,POINT (568284.62 6227779.95),6
B92E0AAA-3E67-4556-87B7-D129AC073A54,1953,31,751,POINT (573611.67 6222289.71),6
B5A31A7A-4B72-4FAA-9D48-744AF312FFA7,1998,70,751,POINT (570521.11 6225652.12),6
B3112D62-C382-4D69-9B0F-5D6022211D20,1953,114,751,POINT (570149.67 6223311.65),6
B310E23B-AD1C-48F5-B64A-6873FC90174C,1954,38,751,POINT (573213.75 6224142.87),6
B1C50AE8-C304-4AFE-B3DE-F936C2FE99E0,1965,25,751,POINT (576511.7 6228645.76),6
B091718D-F6A6-4DA0-975D-40C46BE86CC7,1984,25,751,POINT (573544.11 6223634.58),10
AF0801CB-CF35-4B04-99EA-75D6BB68A745,1958,112,751,POINT (573605.02 6222847.19),6
ABC80FA2-5C76-4C7C-8254-7046B7588603,1968,77,751,POINT (572884.99 6225532.88),6
A9AE7D61-8DB2-4166-B205-7C1273FE6EA0,1966,96,751,POINT (570060.28 6224212.27),6
A969D659-9B39-465F-983B-9F6B9BF4CAE8,1953,30,751,POINT (573312.79 6225990.8),6
A7BE20AF-A828-4C2C-A753-253E83CA8AC2,1960,83,751,POINT (570166.23 6223979.03),6
A75413A1-51F6-446A-8BDF-0B47BBEA281B,1971,72,751,POINT (573000.52 6225164.71),6
A73AB4AB-0A8B-4CF0-AA44-A08681344470,1960,18,751,POINT (571799.23 6223144.45),6
A4FF5A23-F6F3-4B7E-AFAE-B41961378CBE,1970,45,751,POINT (571140.43 6224461.28),6
A43F327E-39D8-4191-AA27-EBC49E22B5EA,1970,37,751,POINT (571307.02 6223475.04),6
A3E72223-81D7-4681-B15C-D1FEB5A1FF44,1965,36,751,POINT (571924.69 6223059.29),6
A1F15A7E-03BA-4EF5-9375-8B288BFB9DC4,1967,42,751,POINT (576603.09 6228700.81),6
A1CCB1B4-741E-45B9-944C-4C0F30754067,1972,137,751,POINT (569088.55 6225488.16),6
A113CF7A-D851-49A5-9FD8-29F2A271044A,1972,441,751,POINT (571934.36 6225354.9),6
A10053CC-DA6F-49A9-A338-DFDD701E4C53,1971,68,751,POINT (569291.46 6225589.18),6
9EE5B50A-2BF3-4972-A9E8-2033C9BAE7B6,1958,182,751,POINT (573461.32 6222526.06),6
9E9F0175-9359-41FD-9420-B9E433B2F179,1960,50,751,POINT (573352.67 6222411.14),6
9E8010FD-6C2D-4F7A-82DE-837AE58B8FBE,1959,80,751,POINT (575487.41 6228257.73),6
9E0AF139-F34A-4DA3-AAD1-D4C1F59675EA,1971,69,751,POINT (569300.85 6225546.74),6
9BFB6DB7-CCD0-4E2A-8AD6-7E72B76C4181,1953,31,751,POINT (573678.46 6222354.87),6
9B8E92A9-CEC0-40B4-9603-9604A347597F,1976,68,751,POINT (572531.84 6226582.83),6
9B7E88F5-94D4-4E23-955B-1EF5CB69338B,1969,77,751,POINT (573125 6225550.88),6
9B6F90B1-80D0-416C-A1EE-20CE2E9D9C22,1954,31,751,POINT (573266.7 6226007.68),6
9A2C00BC-32AB-4FDD-8061-3E1A4A2B1843,1952,221,751,POINT (573740.03 6225390.67),6
97ADB937-E123-4037-8DE0-DB46FBE6F7B6,1994,112,751,POINT (573809.22 6224163.57),6
97A6A1DD-B8AB-4C77-84A4-1EA3824BC9DA,1986,7,751,POINT (575021.07 6224692.49),6
966459DB-C049-44E1-B871-F8CD01D7268B,1995,76,751,POINT (574604.48 6224219.03),6
94CC1880-4D76-4D72-B183-04F820A0A1BC,1969,77,751,POINT (573135.08 6225469.93),6
8F8111B1-1836-41CB-B0FE-B6BD757B521A,1969,90,751,POINT (573088.43 6225417.91),6
8F28F969-835E-49D7-9C13-841AC0DB6841,1968,120,751,POINT (570084.52 6224331.82),6
8E246A9F-D754-4EC3-B6EA-BF1451B2BA7C,1972,69,751,POINT (569096.43 6225561.28),6
